City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
105,Port-Gentil,-0.7193,8.7815,74.16,80,93,14.94,GA,overcast clouds
106,Hithadhoo,-0.6,73.0833,82.65,75,41,12.39,MV,scattered clouds
107,Georgetown,5.4112,100.3354,80.89,90,20,2.3,MY,few clouds
108,Qaqortoq,60.7167,-46.0333,43.16,97,100,2.82,GL,light rain
109,Bethel,41.3712,-73.414,81.45,88,34,1.01,US,scattered clouds
110,Busselton,-33.65,115.3333,61.72,77,100,19.44,AU,moderate rain
111,Nuuk,64.1835,-51.7216,41.88,93,95,3.0,GL,overcast clouds
112,Ewa Beach,21.3156,-158.0072,87.75,49,75,18.41,US,broken clouds
113,Visnes,59.3556,5.2242,53.22,87,75,16.11,NO,light intensity drizzle
114,Mill Valley,37.906,-122.545,77.25,84,27,14.0,US,scattered clouds
115,Jamestown,42.097,-79.2353,69.39,69,0,6.91,US,clear sky
116,Chokurdakh,70.6333,147.9167,61.56,36,42,14.92,RU,scattered clouds
117,Hobyo,5.3505,48.5268,74.55,85,19,21.68,SO,few clouds
118,Seoul,37.5683,126.9778,83.77,74,0,3.44,KR,clear sky
119,Thompson,55.7435,-97.8558,60.96,94,75,3.44,CA,broken clouds
120,Sarishabari,24.7333,89.8333,80.56,83,96,5.97,BD,overcast clouds
121,High Level,58.5169,-117.136,75.31,38,40,2.3,CA,scattered clouds
122,Martapura,-3.4167,114.85,80.69,78,20,3.44,ID,few clouds
123,Nome,64.5011,-165.4064,54.16,94,100,6.91,US,light rain
124,Lompoc,34.6391,-120.4579,82.54,73,0,14.97,US,clear sky
125,Olafsvik,64.8945,-23.7142,51.75,73,100,6.4,IS,overcast clouds
126,Padang,-0.9492,100.3543,73.45,89,100,2.95,ID,heavy intensity rain
127,Poya,-21.35,165.15,75.94,63,20,8.46,NC,few clouds
128,Marrakesh,31.6315,-8.0083,91.47,24,0,2.3,MA,clear sky
129,Grindavik,63.8424,-22.4338,49.95,100,100,6.91,IS,light intensity drizzle
130,Calvinia,-31.4707,19.776,49.01,33,0,9.37,ZA,clear sky
131,Vila Franca Do Campo,37.7167,-25.4333,72.01,93,35,3.24,PT,scattered clouds
132,Ranong,9.9658,98.6348,76.93,82,100,3.0,TH,overcast clouds
133,Clyde River,70.4692,-68.5914,41.23,93,100,8.05,CA,overcast clouds
134,Waingapu,-9.6567,120.2641,78.93,65,31,9.26,ID,scattered clouds
135,Hilo,19.7297,-155.09,89.28,80,20,10.36,US,few clouds
136,Tasiilaq,65.6145,-37.6368,39.38,89,100,2.21,GL,overcast clouds
137,Pacific Grove,36.6177,-121.9166,70.02,80,20,11.5,US,few clouds
138,Kars,40.602,43.095,50.52,74,0,1.74,TR,clear sky
139,Bathsheba,13.2167,-59.5167,81.21,95,75,11.5,BB,broken clouds
140,Khatanga,71.9667,102.5,73.74,39,0,6.33,RU,clear sky
141,Guerrero Negro,27.9769,-114.0611,73.15,70,4,16.51,MX,clear sky
142,Bandarbeyla,9.4942,50.8122,77.27,70,100,27.4,SO,overcast clouds
143,Iqaluit,63.7506,-68.5145,46.13,87,20,9.22,CA,few clouds
144,Llanes,43.4198,-4.7549,66.7,85,100,3.04,ES,overcast clouds
145,Faanui,-16.4833,-151.75,77.77,75,76,10.4,PF,moderate rain
146,Hualmay,-11.0964,-77.6139,62.1,84,48,10.96,PE,scattered clouds
147,Mashhad,36.297,59.6062,77.14,50,0,9.22,IR,clear sky
148,Mount Isa,-20.7333,139.5,65.97,39,0,19.57,AU,clear sky
